Magnetometer,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),x,y,z
3,1,74.51000000000001,7.16094970703125,-22.25189208984375,-18.463134765625
3,1,74.712,12.347412109375,-23.3642578125,-17.3065185546875
3,1,74.914,9.95635986328125,-22.98583984375,-18.13201904296875
3,1,75.114,15.52276611328125,-22.70355224609375,-13.0096435546875
3,1,75.32299999999999,13.4918212890625,-21.92230224609375,-13.671875
3,1,75.52,11.3311767578125,-18.865966796875,-14.33258056640625
3,1,75.726,12.26348876953125,-21.84906005859375,-16.97540283203125
3,1,75.92700000000001,12.87689208984375,-20.5169677734375,-12.8448486328125
3,1,76.125,16.412353515625,-19.45343017578125,-12.01934814453125
3,1,76.32299999999999,13.27972412109375,-20.8709716796875,-14.33258056640625
3,1,76.526,15.4815673828125,-19.20928955078125,-12.34893798828125
3,1,76.729,12.51678466796875,-18.182373046875,-14.33258056640625
3,1,76.928,11.22589111328125,-21.0784912109375,-17.80242919921875
3,1,77.129,13.55438232421875,-21.69036865234375,-13.50555419921875
3,1,77.33,10.0616455078125,-20.7733154296875,-16.64581298828125
3,1,77.533,14.3798828125,-18.670654296875,-13.0096435546875
3,1,77.735,13.99993896484375,-20.06378173828125,-13.0096435546875
3,1,77.93600000000001,12.4114990234375,-20.3948974609375,-16.81060791015625
3,1,78.142,11.0992431640625,-21.54388427734375,-18.13201904296875
3,1,78.337,10.125732421875,-20.53985595703125,-14.8284912109375
3,1,78.539,13.95721435546875,-19.30694580078125,-13.671875
3,1,78.73999999999999,12.07275390625,-19.80743408203125,-13.836669921875
3,1,78.944,15.73486328125,-21.0174560546875,-13.671875
3,1,79.143,12.60223388671875,-19.69757080078125,-14.9932861328125
3,1,79.352,11.395263671875,-21.37298583984375,-16.14990234375
3,1,79.55200000000001,12.158203125,-21.3226318359375,-14.49737548828125
3,1,79.747,13.76495361328125,-20.0042724609375,-12.5152587890625
3,1,79.949,14.2730712890625,-20.8831787109375,-15.48919677734375
3,1,80.15000000000001,13.00506591796875,-22.79052734375,-14.49737548828125
3,1,80.352,14.4012451171875,-20.4193115234375,-12.8448486328125
3,1,80.556,14.654541015625,-19.49005126953125,-13.836669921875
3,1,80.754,13.57574462890625,-23.43597412109375,-12.34893798828125
3,1,80.956,13.6383056640625,-20.4681396484375,-14.166259765625
3,1,81.157,15.79742431640625,-20.7855224609375,-9.539794921875
3,1,81.36499999999999,15.10009765625,-20.6024169921875,-13.0096435546875
